username,password,password_hash,role
hr01,hr01pass,,hr
admin,admin,,admin
mkt01,mkt01pass,,managerMarketing
mkt02,mkt02pass,,managerMarketing
mkt03,mkt03pass,,marketing
mkt04,mkt04pass,,marketing
mkt05,mkt05pass,,marketing
mkt06,mkt06pass,,marketing
mkt07,mkt07pass,,marketing
mkt08,mkt08pass,,marketing
mkt09,mkt09pass,,marketing
mkt10,mkt10pass,,marketing
sale01,sale01pass,,manager_sales
sale02,sale02pass,,manager_sales
sale03,sale03pass,,manager_sales
sale04,sale04pass,,manager_sales
sale05,sale05pass,,sales
sale06,sale06pass,,sales
sale07,sale07pass,,sales
sale08,sale08pass,,sales
sale09,sale09pass,,sales
sale10,sale10pass,,sales
sale11,sale11pass,,sales
sale12,sale12pass,,sales
sale13,sale13pass,,sales
sale14,sale14pass,,sales
sale15,sale15pass,,sales
sale16,sale16pass,,sales
sale17,sale17pass,,sales
sale18,sale18pass,,sales
sale19,sale19pass,,sales
sale20,sale20pass,,sales
sale21,sale21pass,,sales
sale22,sale22pass,,sales
sale23,sale23pass,,sales
sale24,sale24pass,,sales
sale25,sale25pass,,sales
sale26,sale26pass,,sales
sale27,sale27pass,,sales
sale28,sale28pass,,sales
sale29,sale29pass,,sales
sale30,sale30pass,,sales
sale31,sale31pass,,sales
sale32,sale32pass,,sales
sale33,sale33pass,,sales
sale34,sale34pass,,sales
sale35,sale35pass,,sales
sale36,sale36pass,,sales
sale37,sale37pass,,sales
sale38,sale38pass,,sales
sale39,sale39pass,,sales
sale40,sale40pass,,sales
1,1,,admin
